Book|Chapter #|Verse #|Verse
Mateo|1|23|"Niyaꞌ iyan budjang betteng duk nganak iye lella duk inēnan du iye Immanuel." (Maꞌana Immanuelin - Tuhanin palamud si kite bi.) 
Mateo|1|24|Pagngape si Yusup, tinuhut weꞌ ne pangandaꞌakan malaꞌikatin. Kinawinan weꞌ ne Mariyam. 
Mateo|1|25|Saguwaꞌ gaꞌ siye magulid samantaꞌan gaꞌ pe ubus nganak Mariyam. Pagnganak ne Mariyam, lella anaknen duk inēnan iye weꞌ si Yusup si Isa.
Mateo|2|1|Inanakan si Isa si puweblo Betlehem si lahat Yahudiya masa si Herod sultanin. Gaꞌ tiggel, niyaꞌ meꞌ aꞌa tekka pī si puweblo Awrusalam amban lahat silangan. Meꞌ aꞌa inin inadjiꞌan weꞌ de meꞌ poteꞌanin. 
Mateo|2|2|Pagtekkade laꞌi magtilew siye, paꞌinde, "Ingge nakanak baꞌahu inanakanin, iye ujud manjari sultan meꞌ Yahudihin? Peggeꞌ niyaꞌ takite kami poteꞌan paguwaꞌ laꞌi si silangan duk poteꞌan miyaꞌan tandaꞌ weꞌ inanakan ne iye duk pitu kami mudji iye." 
Mateo|2|3|Pagtakale weꞌ Sultan Herod inin, sasew teꞌed pikilannen duk sampay kēmon aꞌa si Awrusalamin sasew du isab. 
Mateo|2|4|Dinaꞌak weꞌ sultanin magtipun kēmon meꞌ nakuraꞌ imamin duk meꞌ guru si saraꞌ āgamahin. Manjari tinilew siye weꞌ ne, paꞌinne, "Antag lahat panganakan pu Almasihin?" 
Mateo|2|5|Paꞌinde, "Si puweblo Betlehem laꞌi si Yahudiya, peggeꞌ bakas tasulat weꞌ Nabi Mika dem kitab sa inin,
Mateo|2|6|'O meꞌ aꞌa Betlehem luꞌu si lahat Yahudiya, bisan dikiꞌ lahatbin gaꞌi du kaꞌam diniyawaꞌan si matahan meꞌ nakuraꞌ Yahudihin, peggeꞌ billuꞌu paluwas du dambuwaꞌ nakuraꞌ mangantan meꞌ aꞌakun bangsa Israꞌilin.' " 
Mateo|2|7|Pagtakale si Herod inin, pinasan weꞌ ne dinaꞌak pī meꞌ lella amban silangan miyaꞌan, bu binoꞌo siye weꞌ ne magbissā, siye-siye hadja. Tinilew siye weꞌ ne bang sumiyan pangitede paguwaꞌ poteꞌanin. Inakahan iye weꞌ de. 
Mateo|2|8|Manjari dinaꞌak ne siye hap Betlehem weꞌ si Herod, paꞌinne, "Pī kaꞌam, pihahun bi teꞌed nakanakin. Bang takasuwaꞌbi ne nakanakin, akahanun bi ku duk ku isab tapī mudji iye." 
Mateo|2|9-10| Manjari, pagubus sultanin missā, lumengngan ne meꞌ aꞌa amban silangan miyaꞌan. Sābude maglengnganin, takitede balik poteꞌan bakas takitede si lahat silanganin. Pagkitede poteꞌanin sinna teꞌed siye manamal. Patuhut siye si poteꞌanin, ubus bu pahali poteꞌanin si atag palaꞌihan nakanakin. 
Mateo|2|11|Ubus padiyalem siye si lumaꞌ miyaꞌan duk takitede nakanakin duk saꞌinen Mariyam. Pasujud siye duk pinudji weꞌ de nakanakin. Lukade pangisihanden duk urungande iye bulawan, kamanyan duk isellan bengngi inēnan mira. 
Mateo|2|12|Ubus inin inakahan siye weꞌ Tuhanin diyalem taginepde, gaꞌi siye dinaꞌak balik pī pu si Herod. Manjari moleꞌ siye, nuhut lān seddili. 
Mateo|2|13|Manjari paglumikut ne siye, paguwaꞌ malaꞌikat Tuhanin pu si Yusup diyalem taginepne, paꞌinne, "Iyuꞌ sōng daꞌak si Herod piniha nakanakin dinaꞌak pinapatey. Dongaꞌ kew, eddoꞌun nakanakin duk Mariyam, saꞌinen, bu lahi kaꞌam hap lahat Misil. Patennaꞌ kaꞌam laꞌi samantaꞌan gaꞌi pe kaꞌam daꞌakku tahalaꞌ billaꞌi." 
Mateo|2|14|Manjari dongaꞌ ne si Yusup, ineddoꞌ weꞌ ne nakanakin duk Mariyam bu tahalaꞌ ne siye hap lahat Misil sangem miyaꞌan. 
Mateo|2|15|Patennaꞌ siye laꞌi sampay matey si Herod. Tuman ne lapal Tuhan tasulat Nabi Hosea dem kitabin, pinaꞌin, "Daꞌakku pitu anakkun amban lahat Misil." 
Mateo|2|16|Manjari pagkataꞌuhan si Herod weꞌ inakkalan hatiꞌ iye weꞌ meꞌ aꞌa amban silanganin, astel iye manamal. Daꞌakne pinapatey kēmon nakanak lella duwen tahun sampay pe kulang amban duwen tahun umulden laꞌi si lahat Betlehem duk si meꞌ kalahatan matapit si Betlehemin, peggeꞌ bakas inakahan iye weꞌ meꞌ aꞌa amban silanganin bang sumiyan paguwaꞌ poteꞌanin. Ubus pinapatey ne meꞌ mākanakin. 
Mateo|2|17|Na, tuman bakas pinaꞌin Nabi Jeremiyahin, paꞌinne, 
Mateo|2|18|"Niyaꞌ suwala takale si lahat Rama magmatey. Nāring teꞌed si Rakel sabab meꞌ anaknen. Gaꞌi iye ngatu pinahemokan peggeꞌ matey ne meꞌ anaknen." 
Mateo|2|19|Manjari pagubus ne matey si Herod, paguwaꞌ ne isab malaꞌikat Tuhanin pu si Yusup pataginep si iye laꞌi si lahat Misil. Paꞌin malaꞌikatin, 
Mateo|2|20|"Dongaꞌ kew, eddoꞌun nakanakin duk Mariyam, saꞌinen, duk balik kaꞌam pī si lahat Israꞌil, peggeꞌ ubus ne matey meꞌ mabayaꞌ mapatey nakanakin." 
Mateo|2|21|Manjari dongaꞌ ne iye ngeddoꞌ nakanakin duk Mariyam, duk balik ne siye pī si lahat Israꞌil. 
Mateo|2|22|Saguwaꞌ pagkale si Yusup weꞌ pagantiꞌ magsultan laꞌi si lahat Yahudiya anak si Herodin inēnan Alkilas, tinalew iye hap pī. Inakahan iye balik dem taginepne, dinaꞌak siye pī hap lahat Jalil. 
Mateo|2|23|Hangkan hep pī siye laꞌi duk patennaꞌ siye si puweblo inēnan Nasaret. Na, tuman binissā meꞌ kanabihanin sabab Almasi, paꞌinde, "Inēnan iye aꞌa Nasaret."
Mateo|3|1|Manjari, masa miyaꞌan tekka Yahiya magpandi-pandi aꞌahin si lahat makagindew-gindew si Yahudiya. Ekka aꞌa hap pī si iye duk magmahalayak iye, paꞌinne, 
Mateo|3|2|"Pagsusunanun bi dusebin duk lebbahanun bi ne, peggeꞌ sōng pitu Tuhanin magbayaꞌ si kite bi." 
Mateo|3|3|Bakas inaka weꞌ Nabi Isaya sabab Yahiya inin, paꞌinne,"Niyaꞌ aꞌa maglingan dem lahat makagindew-gindew. Iye inin pinaꞌinnen, 'Sōng tekka ne Panuhutanin. Palanuꞌun bi lān palabeyannen. Pabentelun bi lān tinuhutnen.' " 
Mateo|3|4|Semmek Yahiyahin bulu untaꞌ tinennun duk kanditnen kuwit sapiꞌ. Kinakannen meꞌ dulu duk boheꞌ buwani. 
Mateo|3|5|Hap pī si iye meꞌ aꞌahin amban Awrusalam duk amban tibuꞌukan lahat Yahudiya duk amban meꞌ kalahatan si bihing boheꞌ Jordan. 
Mateo|3|6|Magbennal siye si meꞌ duseden duk pinandi siye weꞌ Yahiya dem boheꞌ Jordan. 
Mateo|3|7|Niyaꞌ isab meꞌ Pariseo duk meꞌ Sadduseo hap pī, meꞌ nakuraꞌ āgama siye. Pagkitene ekka Pariseo duk meꞌ Sadduseo pī makipandi si iye, paꞌinne, "Kaꞌam iyan, addatbin kuweꞌ addat sawe pangakkal. Kannalbi hatu weꞌ gaꞌi kaꞌam tewwaꞌ mulkaꞌ Tuhan sōng matekkahin bang kaꞌam pinandi. 
Mateo|3|8|Hinangun bi hinangan mahāpin duk takite weꞌ tayikutanbi ne dusebin. 
Mateo|3|9|Daꞌa kaꞌam ngandel weꞌ gaꞌi kaꞌam legga Tuhanin sewukat ne kaꞌam tubuꞌ Apuꞌ Ibrahim. Akahante kaꞌam, bisan meꞌ batu inin tahinang Tuhanin du meꞌ tubuꞌ Apuꞌ Ibrahim. 
Mateo|3|10|Kuweꞌ dalil kayu kaꞌam sōng tinebbengan si gamutne. Kēmon kayu manggaꞌi magbuwaꞌ mahāpin tinebbengan duk ilakasan dem ebbut ineggas. 
Mateo|3|11|Pinandi kaꞌam weꞌ ku duk boheꞌ duk takite weꞌ magsusun ne kaꞌam duk lebbahanbi dusebin. Saguwaꞌ niyaꞌ paturul pitu si aku, balakatan pe iye amban aku. Gaꞌi ku bisan pataꞌ moꞌo tehompaꞌnen. Iye inin seddili pamandine kaꞌamin. Niyaꞌ kaꞌam papīhanne Niyawa Sutsihin duk sinduwehin pandine duk ebbut. 
Mateo|3|12|Pagpaꞌilne meꞌ aꞌa mahāpin duk meꞌ aꞌa malaꞌatin. Kuweꞌ iye dalil aꞌa magpalid paley, pagpaꞌilne linggasin duk apahin. Meꞌ linggasin ennaꞌne pinadem lukung saguwaꞌ apahin eggasne dem ebbut gaꞌ niyaꞌ kapalemne." 
Mateo|3|13|Manjari lumengngan si Isa amban lahat Jalil hap boheꞌ Jordan, duk makipandi iye pu si Yahiya. 
Mateo|3|14|Saguwaꞌ gaꞌi mabayaꞌ si Yahiya, paꞌinne, "Weꞌey kew pitu makipandi si aku? Subey kaꞌu mamandi akuhin." 
Mateo|3|15|Saguwaꞌ nambung si Isa, paꞌinne, "Pīhun ne, pandihun ne ku kuweꞌitu peggeꞌ subey teꞌed tuhutte kēmon pangandaꞌakan Tuhanin." Ubus sinulut ne si Isa weꞌ Yahiya. 
Mateo|3|16|Pagubus si Isa pinandi paguwaꞌ iye amban dem boheꞌ. Manjari paluka langitin duk takitene Niyawa Tuhanin kuweꞌ bantuk assang duwaꞌi amban surgaꞌ duk padapuꞌ si iye. 
Mateo|3|17|Niyaꞌ isab suwala amban surgaꞌ missā, paꞌinne, "Inin Anakku kalasahanku. Asal kasulutan ku teꞌed si iye."
Mateo|4|1|Manjari binoꞌo si Isa weꞌ Niyawa Sutsihin hap lahat makagindew-gindew supaya iye tasassat weꞌ nakuraꞌ seyitanin. 
Mateo|4|2|Paglaꞌi si Isa gaꞌ iye mangan ampatpūꞌ ellew duk ampatpūꞌ sangem. Pagpuwas miyaꞌan inusan ne iye. 
Mateo|4|3|Manjari tekka nakuraꞌ seyitanin duk paꞌinne pu si Isa, "Bang bennal kew teꞌed Anak Tuhanin, daꞌakun meꞌ batu inin manjari kinakan." 
Mateo|4|4|Nambung si Isa, paꞌinne, "Tasulat dem kitab, pinaꞌin, 'Dumaꞌin hadja kinakan makaꞌellum manusiyaꞌin saguwaꞌ iye makaꞌellum manusiyaꞌin meꞌ bissā Tuhanin.' " 
Mateo|4|5|Ubus miyaꞌan binoꞌo iye weꞌ nakuraꞌ seyitanin hap Awrusalam duk pinatengge iye diyataꞌ būngan langgal hadjehin. 
Mateo|4|6|Paꞌin nakuraꞌ seyitanin, "Bang bennal kew teꞌed Anak Tuhanin, palaboꞌ kew bittuꞌu, peggeꞌ tasulat du dem kitab pinaꞌin,'Daꞌak Tuhanin kew inipat si meꞌ malaꞌikatnen duk tayakde kew supaya bisan bettisnun gaꞌi peddiꞌan weꞌ batu.' " 
Mateo|4|7|Paꞌin si Isa, "Niyaꞌ isab tasulat sa inin, 'Daꞌa suleyanun Tuhanin, Panuhutannun.' " 
Mateo|4|8|Pagubus miyaꞌan, binoꞌo iye weꞌ nakuraꞌ seyitanin diyataꞌ punu langkew manamal. Pinakitehan si iye weꞌ nakuraꞌ seyitanin kēmon kalahatan dem dunyahin duk alataꞌden duk balakat nakuraꞌden. 
Mateo|4|9|Paꞌin nakuraꞌ seyitanin pu si Isa, "Kēmon inin pangurungku kaꞌu bang kew pasujud duk nambahayang si aku." 
Mateo|4|10|Paꞌin si Isa, "Tahalaꞌ kew, seyitan, peggeꞌ tasulat dem kitab, pinaꞌin, 'Subey kaꞌam pasujud si Tuhan Panuhutanbin duk subey hadja iye dendangan sinambahayangbin.' " 
Mateo|4|11|Ubus miyaꞌan tahalaꞌ ne nakuraꞌ seyitanin duk tekka meꞌ malaꞌikatin ngahatul iye. 
Mateo|4|12|Manjari inin, pagkale si Isa weꞌ kinalabusu Yahiya, pī iye si lahat Jalil. 
Mateo|4|13|Gaꞌ iye patennaꞌ si Nasaret, saguwaꞌ pī iye patennaꞌ si Kapernaum, puweblo si bihing lamew Jalil laꞌi si lahat Sebulun duk Naptali. 
Mateo|4|14|Tuman ne binissā Nabi Isaya dem kitabin, paꞌinne, 
Mateo|4|15|"Lahat Sebulunin duk lahat Naptalihin tudju seddepan duk si dambiyaꞌ boheꞌ Jordan inēnan isab lahat Jalil, magsewusaget meꞌ kabangsahan malaꞌihin. 
Mateo|4|16|Meꞌ aꞌa mapatennaꞌ dem kalindemanin makakite dantaꞌ sahaya manamal. Tekka ne dantaꞌin si meꞌ aꞌa dem kalindemanin, meꞌ matinalew mamateyin." 
Mateo|4|17|Manjari inin, magtagnaꞌ ne si Isa magmahalayak, paꞌinne, "Pagsusunanun bi dusebin duk lebbahanun bi ne, peggeꞌ sōng pitu Tuhanin magbayaꞌ si kite bi." 
Mateo|4|18|Manjari lumengngan-lengngan si Isa laꞌi si susulan lamew Jalil. Sasangne malumengnganin, niyaꞌ takitene duwangan magpungtinaꞌi. Dambuwaꞌin si Simon, inēnan isab iye Petros duk dambuwaꞌin inēnan Andariyas. Magpokot siye laꞌi dem lamew, peggeꞌ siye meꞌ aꞌa magkenna. 
Mateo|4|19|Manjari paꞌin si Isa si siye, "Dayiꞌ kaꞌam nuhut aku. Bahanbin mageddoꞌ-eddoꞌ kenna. Saguwaꞌ bang kaꞌam nuhut aku, toloꞌante kaꞌam mageddoꞌ-eddoꞌ aꞌa pinatuhut si aku." 
Mateo|4|20|Magtawus inambanan weꞌ de meꞌ pokotden duk nuhut siye si Isa. 
Mateo|4|21|Palanjal ne si Isa. Niyaꞌ isab takitene duwangan magpungtinaꞌi disi Yakub duk Yahiya, meꞌ anak si Sebedehin. Dem bangkaꞌ siye duk samaden, maghatul pokotden. Ilinganan siye weꞌ si Isa duk binoꞌo weꞌ ne. 
Mateo|4|22|Magtawus du isab siye nuhut. Inambanan weꞌ de samaden duk bangkaꞌden. 
Mateo|4|23|Manjari ilatag weꞌ si Isa lahat Jalilin duk magusihat iye si meꞌ kalanggal-langgalan duk magmahalayak aka-aka hāp sabab pagbayaꞌ Tuhanin. Pinakoleꞌ weꞌ ne meꞌ aꞌa masakihin. Bisan ine-ine sakiden pinakawuliꞌ weꞌ ne. 
Mateo|4|24|Manjari bawag ne si Isa si kēmon kalahatan si Siriya. Hangkan binoꞌo isab weꞌ meꞌ aꞌahin pī pu si Isa kēmon aꞌa masakihin, meꞌ mapeddiꞌanin duk meꞌ aꞌa pasayedan seyitanin, meꞌ binabuy-babuyin duk meꞌ aꞌa mamatey barannen. Kawuliꞌan siye kēmon weꞌ si Isa. 
Mateo|4|25|Tungan-tunganne, ekka aꞌa nuhut iye, meꞌ aꞌa amban lahat Jalil, amban meꞌ sampūꞌ puweblo, amban Awrusalam duk Yahudiya duk amban dambiyaꞌ boheꞌ Jordan.
Mateo|5|1|Manjari pagkite si Isa meꞌ aꞌa mabanesin, pataked iye diyataꞌ kūd duk ningkoloꞌ iye. Patapit si iye meꞌ tindegnen. 
Mateo|5|2|Magusihat iye si siye, paꞌinne, 
Mateo|5|3|"Hāp pe meꞌ aꞌa mangataꞌuhan weꞌ gaꞌi kasulutan Tuhanin si siye bang gaꞌi siye ngandel si iye, peggeꞌ pagbayaꞌan du siye weꞌ Tuhanin. 
Mateo|5|4|Hāp pe meꞌ aꞌa madukkahin, peggeꞌ pinahemokan du siye weꞌ Tuhanin. 
Mateo|5|5|Hāp pe meꞌ aꞌa madiyawaꞌ ateynen peggeꞌ tasangkade du kahāpan pananggup Tuhanin. 
Mateo|5|6|Hāp pe meꞌ aꞌa mamabayaꞌ manuhut kabayaꞌan Tuhanin, peggeꞌ dinuhulan du siye. 
Mateo|5|7|Hāp pe meꞌ aꞌa mamaꞌaseꞌ si saweꞌden, peggeꞌ kinaꞌaseꞌan du isab siye weꞌ Tuhanin. 
Mateo|5|8|Hāp pe meꞌ aꞌa mabentel dem ateyden, peggeꞌ magkite du siye duk Tuhanin. 
Mateo|5|9|Hāp pe meꞌ aꞌa maghāp saweꞌden, peggeꞌ inēnan du siye anak Tuhanin. 
Mateo|5|10|Hāp pe meꞌ aꞌa bininasa sabab panuhutde pangandaꞌakan Tuhanin, peggeꞌ pagbayaꞌan siye weꞌ Tuhanin. 
Mateo|5|11|"Hāp pe kaꞌam bang kaꞌam binissā-bissāhan, duk pinapeddiꞌan duk ilimutan bu gaꞌi toꞌo peggeꞌ nuhut kaꞌam aku. 
Mateo|5|12|Magkēg kaꞌam manamal peggeꞌ hadje panumbas kaꞌamin si surgaꞌ. Peggeꞌ sa miyaꞌan du hep isab paminasa si meꞌ kanabihan matuꞌuley." 
Mateo|5|13|"Kaꞌam manuhut akuhin, kuweꞌ asin du kaꞌam si kēmon manusiyaꞌ. Saguwaꞌ bang asinin gaꞌ ne niyaꞌ lessane, gaꞌi ne maꞌasin balik. Gaꞌ ne niyaꞌ gunane. Ubus ilakasan hadja duk diꞌik-diꞌikan aꞌa. 
Mateo|5|14|"Kaꞌam manuhut akuhin, kuweꞌ dantaꞌ du kaꞌam si kēmon manusiyaꞌ. Bang puweblohin diyataꞌ kūd, takite du weꞌ meꞌ aꞌahin. 
Mateo|5|15|Gaꞌ niyaꞌ mekketan payitaꞌan bu lekkebanne duk palanggana saguwaꞌ bettadne diyataꞌ tengenanne duk dantaꞌ kēmon dem lumaꞌin. 
Mateo|5|16|Damikkiyan isab kaꞌam subey ngurung dantaꞌ si manusiyaꞌ. Hātinen maghinang kaꞌam hāp, supaya takite meꞌ aꞌahin meꞌ hinanganbi mahāpin duk pudjide du Samabi si surgaꞌin." 
Mateo|5|17|"Daꞌa kaꞌam magpikil weꞌ hangkan ku pitu supaya gaꞌi ne binali saraꞌ si Musahin duk meꞌ panoloꞌ kanabihanin. Gaꞌi ku pitu ngānan saraꞌin duk meꞌ panoloꞌ kanabihanin saguwaꞌ supaya tapahāti teꞌed bang ine hātinen. 
Mateo|5|18|Sabennal akahante kaꞌam, samantaꞌan tuꞌu pe dunyahin duk langitin, gaꞌ niyaꞌ bisan dambuwaꞌ batang duk dambuwaꞌ balis inānan amban saraꞌin. Gaꞌi makajari weꞌ gaꞌi binali saraꞌin samantaꞌan gaꞌ pe kiyamat. 
Mateo|5|19|Hangkan sine-sine ngalanggalan saraꞌin, bisan meꞌ saraꞌ gaꞌ niyaꞌ tantu baline, duk toloꞌanne isab sinduwehin ngalanggalanne, iye du madiyawaꞌ teꞌed dem pagbayaꞌan Tuhanin. Saguwaꞌ sine-sine nuhut saraꞌin duk toloꞌanne isab sinduwehin nuhut saraꞌin, langkew iye si pagbayaꞌan Tuhanin. 
Mateo|5|20|Akahante kaꞌam, bang pagtuyuꞌbi manuhut pangandaꞌakan Tuhanin gaꞌi palabi amban pagtuyuꞌ meꞌ guru si saraꞌ āgamahin duk meꞌ Pariseohin, gaꞌi du kaꞌam tapī dem pagbayaꞌan Tuhanin." 
Mateo|5|21|"Bakas takalebi sabab panoloꞌ si meꞌ aꞌa dehelluhin, pinaꞌin, 'Daꞌa kew mapatey. Sine-sine mapatey subey hinukum.'
Mateo|5|22|Saguwaꞌ aku, paꞌinku: sine-sine astel si saweꞌnen subey hinukum, duk sine-sine magpaꞌin si saweꞌne, 'Babbal kew!' subey binoꞌo si huwis, duk sine-sine magpaꞌin si saweꞌne, 'Dupang kew teꞌed, gaꞌ niyaꞌ kagunahannu!' siya-siya iye hinukum pinadem ebbut narkaꞌ. 
Mateo|5|23|Bang kew laꞌi si langgal sōng nambahayang bu taꞌessebnu weꞌ peddiꞌ atey saweꞌnun si kaꞌu, 
Mateo|5|24|pī kew dahuꞌ maghāp duk saweꞌnun, meke kew pī balik nambahayang. 
Mateo|5|25|"Bang niyaꞌ aꞌa nuntutan kaꞌu, boꞌohun ne iye maghāp sasangbi pe si lān hap pī si paghukuman. Peggeꞌ bang laꞌi ne kaꞌam si paghukuman, kaw kew daꞌak hukumin ineddoꞌ si pulis bu pinadem kalabusu kew. 
Mateo|5|26|Sabennal akahante kew, weꞌ gaꞌi teꞌed kew lumuwas billaꞌi samantaꞌan gaꞌi tapuwasannu kēmon pinamulta si kaꞌuhin. Bisan dambuwaꞌ sīn gaꞌi kakulangan." 
Mateo|5|27|"Bakas takalebi isab panoloꞌ inin, pinaꞌin, 'Daꞌa kew magjina.'
Mateo|5|28|Saguwaꞌ aku, paꞌinku: sine-sine mayam si dende bu tapikilnen laꞌat, kapagjina ne iye duk dendehin dem ateyne. 
Mateo|5|29|Bang matanu kanawanin mamoꞌo kaꞌu magdusehin, lebbahanun pagdusenun. Dalilnen kuweꞌ du ugitannu matanun bu ngalakasanne. Hāp pe bang gaꞌ niyaꞌ matanu dambiyaꞌ, amban kēmon barannun tinimanan pī dem narkaꞌ. 
Mateo|5|30|Duk bang tangannu kanawanin mamoꞌo kaꞌu magdusehin, lebbahanun pagdusenun. Dalilnen kuweꞌ du putukannu tangannun bu ngalakasanne. Hāp pe bang putuk tangannu dambiyaꞌin, amban kēmon barannun pinadem narkaꞌ." 
Mateo|5|31|"Niyaꞌ isab panoloꞌ, pinaꞌin, 'Sine-sine nimanan andanen subey niyaꞌ sulat pagpilmahande duk kataꞌuhan weꞌ magbutas ne siye.'
Mateo|5|32|Saguwaꞌ aku, paꞌinku: bang lellahin nimanan andanen, bu gaꞌ bakas magjina andanen, lellahin jānnen hangkan magjina dendehin bang magella iye balik. Duk sine-sine maganda si iye magjina du isab." 
Mateo|5|33|"Bakas takalebi isab sabab panoloꞌ si meꞌ aꞌa dehelluhin, pinaꞌin, 'Daꞌa kaꞌam napa bang gaꞌi toꞌo. Duk subey tumananbi bang niyaꞌ sanggupbi si pakalehan Tuhanin.'
Mateo|5|34-35| Saguwaꞌ aku, paꞌinku: bang kaꞌam nanggup ine-ine, daꞌa kaꞌam napa nabbut surgaꞌin, peggeꞌ laꞌi paningkoloꞌan Tuhanin. Daꞌa kaꞌam napa nabbut dunyahin, peggeꞌ inin pahalihan bettis Tuhanin. Daꞌa kaꞌam napa nabbut puweblo Awrusalamin, peggeꞌ inin puweblo inantanan Sultan Mabalakatanin. 
Mateo|5|36|Daꞌa kaꞌam napa, kuweꞌ upama paꞌinbi, 'Muwekkaꞌ kōkkun bang gaꞌi toꞌo!' peggeꞌ dumaꞌin kaꞌam mangahinang baranbin. Bisan da lamba kōkbin, gaꞌi du kaꞌam taꞌu matomoꞌne pinaꞌittem atawa pinapoteꞌ. 
Mateo|5|37|Paꞌinun bi hadja, 'Aweꞌ' atawa, 'Gaꞌi.' Ine-ine panambabi supaya kaꞌam kinahagad, iyan amban nakuraꞌ seyitanin ne." 
Mateo|5|38|"Bakas takalebi panoloꞌ inin, pinaꞌin, 'Bang niyaꞌ aꞌa makapagkaꞌat mata saweꞌne, subey isab pinagkaꞌat matanen, duk bang niyaꞌ aꞌa makalupuꞌ impen saweꞌne, subey isab ilupuꞌ impennen.'
Mateo|5|39|Saguwaꞌ aku, paꞌinku: daꞌa kaꞌam males bang niyaꞌ aꞌa taga sāꞌ si kaꞌam. Bang niyaꞌ aꞌa nampak luwenu dambiyaꞌin patampalun isab pī si iye dambiyaꞌin, ambat sampakne. 
Mateo|5|40|Bang niyaꞌ aꞌa nuntutan kaꞌu supaya taꞌeddoꞌne badjuꞌnun, pangurungun du isab iye ōsnun. 
Mateo|5|41|Bang niyaꞌ aꞌa nganggagahan kaꞌu moꞌo binoꞌonen da kilumetro, boꞌohun duwe kilumetro. 
Mateo|5|42|Sine-sine mākuhan kaꞌu, urunganun, duk sine-sine ngindam amban kaꞌu, paꞌindamanun." 
